fecha,t_min,t_max,hr_t_min,hr_t_max
2019-01-01,20.3,31.1,87.8,46.3
2019-01-02,20.1,31.2,99.1,51.3
2019-01-03,20.3,31.8,100.0,55.5
2019-01-04,21.0,31.2,74.4,40.7
2019-01-05,22.4,31.4,83.8,49.4
2019-01-06,21.4,31.0,92.2,52.3
2019-01-07,22.7,29.0,86.7,59.7
2019-01-08,24.0,30.8,78.4,52.7
2019-01-09,23.1,30.9,89.9,56.9
2019-01-10,22.5,31.6,85.9,50.3
2019-01-11,21.9,31.5,83.4,47.4
2019-01-12,20.2,32.5,91.7,44.4
2019-01-13,20.1,32.5,94.8,45.6
2019-01-14,20.7,31.9,91.8,47.4
2019-01-15,20.9,32.4,91.9,46.7
2019-01-16,20.5,32.9,92.9,44.8
2019-01-17,21.3,32.7,84.5,43.3
2019-01-18,19.8,32.3,90.5,43.2
2019-01-19,21.9,32.2,89.1,48.7
2019-01-20,20.3,32.5,100.0,48.7
2019-01-21,21.8,32.8,89.2,46.8
2019-01-22,22.2,32.9,84.9,45.4
2019-01-23,21.4,32.8,87.9,45.0
2019-01-24,20.2,32.8,95.1,45.2
2019-01-25,22.6,33.0,86.5,47.1
2019-01-26,21.9,32.6,93.3,49.8
2019-01-27,20.9,32.6,85.8,43.1
2019-01-28,23.2,32.6,77.0,44.5
2019-01-29,21.2,32.4,85.8,44.4
2019-01-30,22.6,33.0,82.1,44.7
2019-01-31,21.3,33.2,91.6,45.6
2019-02-01,21.3,32.6,90.0,46.4
2019-02-02,22.4,31.2,90.8,54.1
2019-02-03,21.6,29.8,98.1,60.3
2019-02-04,22.1,32.2,89.9,49.7
2019-02-05,22.3,31.7,89.2,51.3
2019-02-06,22.9,31.7,91.4,54.5
2019-02-07,22.5,31.5,84.8,50.0
2019-02-08,22.5,32.3,92.5,52.1
2019-02-09,22.0,33.1,100.0,52.6
2019-02-10,22.8,34.8,99.1,49.4
2019-02-11,24.5,32.9,90.8,55.8
2019-02-12,23.8,33.4,89.9,51.5
2019-02-13,24.5,33.3,88.2,53.0
2019-02-14,24.1,33.4,95.3,55.6
2019-02-15,23.4,32.1,83.1,50.0
2019-02-16,21.7,31.5,80.5,45.2
2019-02-17,20.6,31.8,77.5,40.0
2019-02-18,20.2,32.3,78.2,38.3
2019-02-19,19.5,34.5,100.0,42.4
2019-02-20,21.0,34.7,99.4,44.7
2019-02-21,23.5,36.1,87.4,42.3
2019-02-22,23.4,35.3,75.8,38.1
2019-02-23,19.0,32.9,75.1,33.0
2019-02-24,20.4,31.8,76.4,38.9
2019-02-25,20.2,30.3,80.3,44.0
2019-02-26,19.5,30.5,89.2,46.3
2019-02-27,17.7,31.3,89.9,39.8
2019-02-28,18.6,30.8,80.8,39.0
2019-03-01,20.3,30.3,75.6,41.7
2019-03-02,20.9,29.7,87.8,52.0
2019-03-03,19.5,29.3,100.0,56.4
2019-03-04,20.8,30.4,94.5,53.4
2019-03-05,21.9,31.1,96.3,56.0
2019-03-06,22.7,31.2,97.9,59.4
