fecha,evaporación,radiación
2023-01-01,6.1,29.2
2023-01-02,6.0,24.2
2023-01-03,7.7,30.6
2023-01-04,6.8,30.7
2023-01-05,2.3,6.4
2023-01-06,5.4,21.5
2023-01-07,7.1,28.1
2023-01-08,6.2,25.6
2023-01-09,5.7,19.8
2023-01-10,5.4,16.7
2023-01-11,3.3,17.9
2023-01-12,2.8,18.7
2023-01-13,4.0,10.8
2023-01-14,1.2,7.0
2023-01-15,3.7,12.0
2023-01-16,1.6,7.9
2023-01-17,3.2,7.1
2023-01-18,6.5,29.3
2023-01-19,6.8,29.5
2023-01-20,4.7,22.6
2023-01-21,6.2,23.4
2023-01-22,5.5,21.7
2023-01-23,6.7,28.3
2023-01-24,6.5,29.6
2023-01-25,5.6,30.1
2023-01-26,7.3,29.7
2023-01-27,3.8,14.7
2023-01-28,6.5,29.7
2023-01-29,7.5,29.7
2023-01-30,7.0,27.3
2023-01-31,6.0,20.0
2023-02-01,3.5,14.7
2023-02-02,6.7,17.5
2023-02-03,5.8,18.9
2023-02-04,4.0,13.2
2023-02-05,8.5,19.2
2023-02-06,6.5,13.1
2023-02-07,6.9,28.2
2023-02-08,6.1,26.6
2023-02-09,4.5,22.6
2023-02-10,7.1,26.1
2023-02-11,8.1,28.7
2023-02-12,8.8,28.7
2023-02-13,7.0,27.8
2023-02-14,6.9,20.8
2023-02-15,7.2,27.3
2023-02-16,6.5,25.2
2023-02-17,4.2,24.7
2023-02-18,7.2,26.0
2023-02-19,6.4,25.6
2023-02-20,3.5,11.6
2023-02-21,3.8,16.9
2023-02-22,5.0,24.0
2023-02-23,4.7,16.8
2023-02-24,5.0,23.7
2023-02-25,7.3,23.6
2023-02-26,6.6,25.9
2023-02-27,4.9,19.6
2023-02-28,6.2,26.4
2023-03-01,6.9,26.7
2023-03-02,5.2,23.7
2023-03-03,5.6,16.9
2023-03-04,6.7,23.6
2023-03-05,6.4,24.0
2023-03-06,5.9,25.4
2023-03-07,5.8,25.2
2023-03-08,6.2,23.2
2023-03-09,3.7,14.7
2023-03-10,2.0,14.9
2023-03-11,3.6,17.9
2023-03-12,4.2,25.2
2023-03-13,3.8,13.5
2023-03-14,3.8,21.1
2023-03-15,4.2,23.4
2023-03-16,5.0,20.5
2023-03-17,6.3,24.1
2023-03-18,6.8,23.7
2023-03-19,6.2,23.6
2023-03-20,2.9,18.0
2023-03-21,6.5,20.2
2023-03-22,2.5,13.2
2023-03-23,5.3,21.4
2023-03-24,5.0,22.5
2023-03-25,4.6,21.5
2023-03-26,4.1,21.6
2023-03-27,6.1,21.6
2023-03-28,2.8,20.7
2023-03-29,3.7,20.9
2023-03-30,4.3,9.5
2023-03-31,5.4,22.5
2023-04-01,2.4,14.0
2023-04-02,4.8,6.9
2023-04-03,3.9,15.7
2023-04-04,4.4,19.8
2023-04-05,5.0,21.7
2023-04-06,3.6,19.0
2023-04-07,5.0,12.2
2023-04-08,7.0,21.3
2023-04-09,8.4,21.2
2023-04-10,5.4,21.0
2023-04-11,4.9,20.5
2023-04-12,5.4,20.5
2023-04-13,5.4,20.6
2023-04-14,4.3,20.5
2023-04-15,4.6,19.9
2023-04-16,5.6,20.2
2023-04-17,4.5,16.6
2023-04-18,5.2,17.5
2023-04-19,4.6,18.6
2023-04-20,4.6,18.9
2023-04-21,4.1,15.7
2023-04-22,5.3,15.4
2023-04-23,5.4,15.4
2023-04-24,4.9,18.4
2023-04-25,4.4,14.6
2023-04-26,3.6,17.5
2023-04-27,3.2,17.9
2023-04-28,4.3,15.1
2023-04-29,2.6,13.8
2023-04-30,6.0,17.9
2023-05-01,4.5,17.9
2023-05-02,3.0,16.6
2023-05-03,5.1,17.7
2023-05-04,4.1,17.8
2023-05-05,3.6,16.9
2023-05-06,3.4,16.5
2023-05-07,5.1,14.9
2023-05-08,5.0,17.4
2023-05-09,5.4,17.3
2023-05-10,3.2,15.9
2023-05-11,2.6,13.6
2023-05-12,4.3,16.1
2023-05-13,4.3,14.6
2023-05-14,1.3,9.5
2023-05-15,0.7,10.8
2023-05-16,2.7,15.6
2023-05-17,3.2,16.0
2023-05-18,3.6,16.3
2023-05-19,3.8,16.4
2023-05-20,4.5,16.3
2023-05-21,3.7,16.2
2023-05-22,3.7,16.1
2023-05-23,3.4,16.0
2023-05-24,3.3,15.9
2023-05-25,2.8,15.0
2023-05-26,6.2,15.7
2023-05-27,3.4,15.8
2023-05-28,4.7,15.7
2023-05-29,3.5,15.6
2023-05-30,2.6,15.6
2023-05-31,2.9,15.3
2023-06-01,3.3,15.1
2023-06-02,3.4,14.8
2023-06-03,3.1,12.4
2023-06-04,2.7,14.7
2023-06-05,2.6,13.6
2023-06-06,2.9,13.6
2023-06-07,3.1,13.5
2023-06-08,2.2,12.4
2023-06-09,4.1,15.0
2023-06-10,3.1,15.1
2023-06-11,2.9,13.8
2023-06-12,1.3,14.1
2023-06-13,2.4,14.9
2023-06-14,4.0,15.0
2023-06-15,3.3,15.0
2023-06-16,3.6,14.8
2023-06-17,2.4,13.4
2023-06-18,2.8,12.3
2023-06-19,3.6,15.0
2023-06-20,3.4,15.0
2023-06-21,2.9,15.0
2023-06-22,2.8,14.5
2023-06-23,2.7,14.9
2023-06-24,3.4,15.0
2023-06-25,2.8,14.8
2023-06-26,3.2,13.7
2023-06-27,3.7,15.1
2023-06-28,3.3,15.0
2023-06-29,3.7,9.9
2023-06-30,3.8,14.5
2023-07-01,2.8,14.8
2023-07-02,2.6,12.4
2023-07-03,1.5,7.6
2023-07-04,0.5,9.4
2023-07-05,2.8,10.6
2023-07-06,3.3,15.3
2023-07-07,5.5,15.4
2023-07-08,4.2,15.4
2023-07-09,3.0,15.5
2023-07-10,2.8,15.3
2023-07-11,2.9,15.5
2023-07-12,2.5,14.6
2023-07-13,2.7,14.0
2023-07-14,3.0,15.0
2023-07-15,2.4,13.7
2023-07-16,2.9,12.0
2023-07-17,2.4,15.5
2023-07-18,2.4,15.2
2023-07-19,4.3,16.0
2023-07-20,3.1,16.1
2023-07-21,2.6,16.0
2023-07-22,3.9,16.3
2023-07-23,2.9,16.3
2023-07-24,1.6,9.2
2023-07-25,2.6,15.6
2023-07-26,2.7,13.8
2023-07-27,3.1,13.9
2023-07-28,3.8,12.6
2023-07-29,3.4,14.4
2023-07-30,3.8,16.9
2023-07-31,3.4,17.0
2023-08-01,3.5,17.1
2023-08-02,3.1,12.9
2023-08-03,3.0,17.3
2023-08-04,3.4,16.2
2023-08-05,3.9,17.3
2023-08-06,3.1,13.9
2023-08-07,2.8,16.9
2023-08-08,3.4,16.2
2023-08-09,3.4,16.3
2023-08-10,3.4,16.1
2023-08-11,4.6,18.0
2023-08-12,4.3,17.2
2023-08-13,4.1,18.3
2023-08-14,4.0,18.4
2023-08-15,4.0,18.5
2023-08-16,3.9,17.9
2023-08-17,3.7,18.7
2023-08-18,5.9,18.0
2023-08-19,5.8,19.1
2023-08-20,5.1,19.2
2023-08-21,3.7,17.9
2023-08-22,3.5,18.5
2023-08-23,4.6,19.3
2023-08-24,4.7,18.3
2023-08-25,5.1,18.2
2023-08-26,5.8,19.4
2023-08-27,5.3,19.3
2023-08-28,5.0,19.1
2023-08-29,3.0,19.1
2023-08-30,4.9,19.1
2023-08-31,3.8,20.3
2023-09-01,5.4,20.6
2023-09-02,4.6,18.3
2023-09-03,4.3,18.6
2023-09-04,4.2,19.6
2023-09-05,4.8,21.1
2023-09-06,4.7,21.2
2023-09-07,4.9,19.2
2023-09-08,5.9,18.3
2023-09-09,6.1,19.8
2023-09-10,4.9,19.8
2023-09-11,4.0,18.3
2023-09-12,4.6,17.9
2023-09-13,4.5,20.9
2023-09-14,5.7,20.5
2023-09-15,5.8,20.0
2023-09-16,5.6,22.5
2023-09-17,5.4,21.5
2023-09-18,4.9,20.4
2023-09-19,8.5,20.3
2023-09-20,5.6,21.8
2023-09-21,5.9,23.2
2023-09-22,6.4,18.5
2023-09-23,6.6,19.5
2023-09-24,4.7,18.9
2023-09-25,4.6,22.1
2023-09-26,5.9,23.2
2023-09-27,5.8,23.9
2023-09-28,4.7,24.1
2023-09-29,6.1,19.8
2023-09-30,6.6,24.1
2023-10-01,6.7,19.1
2023-10-02,6.3,22.8
2023-10-03,5.9,23.2
2023-10-04,4.3,21.4
2023-10-05,5.0,19.3
2023-10-06,7.8,25.2
2023-10-07,14.5,21.1
2023-10-08,6.0,18.9
2023-10-09,5.2,21.6
2023-10-10,5.7,26.0
2023-10-11,5.4,25.2
2023-10-12,6.8,25.8
2023-10-13,8.8,26.4
2023-10-14,7.8,26.5
2023-10-15,7.4,26.5
2023-10-16,9.2,26.1
2023-10-17,9.2,26.5
2023-10-18,7.0,23.0
2023-10-19,5.8,24.5
2023-10-20,7.0,24.7
2023-10-21,9.3,26.7
2023-10-22,8.4,26.1
2023-10-23,7.3,26.9
2023-10-24,7.3,26.4
2023-10-25,7.3,24.9
2023-10-26,7.2,27.3
2023-10-27,6.2,27.2
2023-10-28,7.7,24.3
2023-10-29,6.5,26.4
2023-10-30,6.2,27.6
2023-10-31,8.1,28.2
2023-11-01,5.3,28.6
2023-11-02,5.6,21.0
2023-11-03,5.7,25.9
2023-11-04,6.0,22.5
2023-11-05,4.6,21.8
2023-11-06,1.9,18.5
2023-11-07,4.3,18.8
2023-11-08,5.7,20.5
2023-11-09,5.8,28.7
2023-11-10,6.4,25.9
2023-11-11,6.4,23.4
2023-11-12,7.6,27.3
2023-11-13,7.1,29.5
2023-11-14,7.0,29.1
2023-11-15,8.1,29.5
2023-11-16,8.0,23.8
2023-11-17,8.8,21.5
2023-11-18,6.1,10.3
2023-11-19,4.8,10.0
2023-11-20,1.0,6.3
2023-11-21,3.4,15.1
2023-11-22,4.8,16.9
2023-11-23,4.5,20.0
2023-11-24,5.0,16.7
2023-11-25,3.4,14.4
2023-11-26,3.7,19.5
2023-11-27,3.6,16.2
2023-11-28,1.9,10.1
2023-11-29,5.6,29.5
2023-11-30,8.9,30.4
2023-12-01,6.2,15.7
2023-12-02,6.6,26.6
2023-12-03,6.9,23.2
2023-12-04,6.1,23.8
2023-12-05,7.0,30.4
2023-12-06,7.8,30.3
2023-12-07,8.9,30.8
2023-12-08,8.5,29.6
2023-12-09,7.8,29.7
2023-12-10,9.5,26.9
2023-12-11,6.7,19.1
2023-12-12,6.8,25.4
2023-12-13,6.4,28.5
2023-12-14,8.4,28.9
2023-12-15,7.4,28.3
2023-12-16,5.0,24.4
2023-12-17,6.2,24.6
2023-12-18,7.2,28.8
2023-12-19,6.3,28.9
2023-12-20,5.5,29.0
2023-12-21,5.9,18.9
2023-12-22,3.7,20.3
2023-12-23,6.3,24.9
2023-12-24,6.3,29.4
2023-12-25,6.6,25.6
2023-12-26,7.9,16.0
2023-12-27,6.3,22.2
2023-12-28,7.3,22.4
2023-12-29,7.6,27.1
2023-12-30,5.7,27.7
2023-12-31,6.0,30.6
