fecha,t_min,t_max,hr_t_min,hr_t_max
2022-01-01,22.1,28.8,99.7,66.9
2022-01-02,19.7,31.8,91.5,44.7
2022-01-03,20.1,33.4,78.2,35.8
2022-01-04,20.7,32.8,97.5,47.8
2022-01-05,22.1,34.1,86.9,43.2
2022-01-06,23.4,32.7,92.8,54.0
2022-01-07,23.8,31.7,100.0,63.5
2022-01-08,23.5,28.6,100.0,74.6
2022-01-09,23.3,30.7,100.0,65.9
2022-01-10,22.0,31.1,93.8,54.9
2022-01-11,22.1,29.3,97.4,63.6
2022-01-12,20.4,29.7,96.8,55.6
2022-01-13,20.1,30.3,88.9,48.4
2022-01-14,19.2,30.6,100.0,51.0
2022-01-15,20.9,30.5,100.0,58.9
2022-01-16,21.9,31.8,91.0,50.8
2022-01-17,23.0,32.2,89.7,52.4
2022-01-18,22.6,32.0,94.5,54.5
2022-01-19,22.6,31.7,91.9,53.9
2022-01-20,22.2,29.4,94.9,62.0
2022-01-21,21.8,28.4,91.5,61.8
2022-01-22,20.0,29.9,92.4,51.2
2022-01-23,18.5,30.0,99.6,50.0
2022-01-24,19.7,30.7,96.8,50.3
2022-01-25,22.6,31.1,86.8,52.7
2022-01-26,22.7,31.1,89.9,54.9
2022-01-27,23.1,29.3,95.2,66.0
2022-01-28,20.8,31.0,92.0,50.3
2022-01-29,20.3,31.6,100.0,51.4
2022-01-30,22.3,31.6,98.8,57.2
2022-01-31,22.1,33.0,95.5,50.5
2022-02-01,23.7,33.6,88.8,50.0
2022-02-02,24.2,33.4,97.4,57.1
2022-02-03,23.1,31.5,96.3,58.8
2022-02-04,22.2,29.9,89.3,56.7
2022-02-05,20.0,29.3,75.7,43.4
2022-02-06,19.2,29.2,88.1,48.4
2022-02-07,18.4,27.2,95.5,56.0
2022-02-08,18.0,29.3,91.6,46.4
2022-02-09,18.7,30.6,91.9,45.1
2022-02-10,19.5,30.5,95.3,49.5
2022-02-11,18.8,31.3,92.2,43.8
2022-02-12,20.0,30.6,86.9,46.2
2022-02-13,19.7,30.1,88.9,47.8
2022-02-14,19.9,29.0,100.0,59.9
2022-02-15,20.6,29.1,99.0,59.6
2022-02-16,21.1,29.0,100.0,62.4
2022-02-17,19.8,30.4,100.0,53.9
2022-02-18,20.5,30.9,100.0,56.0
2022-02-19,20.8,30.8,100.0,57.9
2022-02-20,21.1,30.5,96.4,55.2
2022-02-21,20.6,31.4,100.0,53.7
2022-02-22,21.3,32.3,99.5,52.1
2022-02-23,23.4,32.1,100.0,62.1
2022-02-24,22.9,30.1,88.5,57.9
2022-02-25,22.6,27.7,86.8,64.1
2022-02-26,20.2,30.1,100.0,60.7
2022-02-27,21.9,30.5,95.9,57.7
2022-02-28,22.2,31.1,88.2,52.2
2022-03-01,22.0,31.7,94.2,53.3
2022-03-02,23.1,32.2,99.8,58.6
2022-03-03,26.9,32.9,95.7,67.8
2022-03-04,21.1,31.9,100.0,61.3
2022-03-05,22.6,30.9,100.0,64.0
2022-03-06,24.5,33.1,100.0,69.0
2022-03-07,20.9,30.5,100.0,67.3
2022-03-08,24.3,32.9,91.5,55.6
2022-03-09,21.8,31.4,100.0,75.9
2022-03-10,23.1,30.3,100.0,66.3
2022-03-11,22.6,29.8,96.3,62.9
2022-03-12,21.7,28.4,89.4,60.0
2022-03-13,19.0,28.6,100.0,57.7
2022-03-14,18.9,28.3,96.7,54.9
2022-03-15,18.9,28.6,93.0,51.9
2022-03-16,20.1,27.6,97.4,62.0
2022-03-17,18.7,29.5,100.0,56.0
2022-03-18,20.1,30.0,100.0,56.8
2022-03-19,19.2,29.0,94.4,52.4
2022-03-20,19.1,28.9,100.0,60.0
2022-03-21,18.3,29.8,100.0,53.4
2022-03-22,18.7,29.2,100.0,54.1
2022-03-23,18.4,30.7,100.0,52.5
2022-03-24,18.7,30.0,100.0,55.9
2022-03-25,18.7,29.8,100.0,56.5
2022-03-26,18.9,29.2,100.0,55.8
2022-03-27,20.9,29.2,100.0,63.9
2022-03-28,20.9,30.1,100.0,59.1
2022-03-29,18.2,30.5,99.1,47.4
2022-03-30,18.9,29.8,91.2,47.4
2022-03-31,20.0,31.3,86.0,44.0
2022-04-01,21.5,27.8,77.2,53.0
2022-04-02,18.6,28.8,100.0,57.1
2022-04-03,19.2,29.7,100.0,58.5
2022-04-04,19.1,29.1,100.0,57.6
2022-04-05,18.7,30.0,100.0,54.0
2022-04-06,19.1,29.3,100.0,55.5
2022-04-07,18.4,29.5,98.8,50.7
2022-04-08,19.9,29.3,100.0,57.9
2022-04-09,20.8,26.4,100.0,71.8
2022-04-10,21.6,28.5,98.5,65.3
2022-04-11,19.5,29.4,99.3,54.9
2022-04-12,18.8,29.6,100.0,57.9
2022-04-13,19.8,28.5,96.2,57.1
2022-04-14,18.4,26.6,92.7,56.3
2022-04-15,16.6,27.5,95.3,49.0
2022-04-16,16.6,27.3,84.7,44.1
2022-04-17,16.6,27.4,94.8,49.1
2022-04-18,16.0,27.6,100.0,50.1
2022-04-19,19.5,27.1,100.0,63.6
2022-04-20,20.0,29.4,100.0,60.5
2022-04-21,19.5,28.9,100.0,61.8
2022-04-22,20.6,26.0,83.3,60.1
2022-04-23,18.5,27.5,94.4,54.8
2022-04-24,18.8,26.3,88.5,56.1
2022-04-25,17.8,26.6,100.0,60.9
2022-04-26,18.3,23.3,100.0,74.5
2022-04-27,17.9,27.0,100.0,62.3
2022-04-28,17.6,28.0,100.0,60.3
2022-04-29,18.2,28.1,100.0,62.9
2022-04-30,18.1,28.1,100.0,61.0
2022-05-01,18.4,28.1,100.0,62.1
2022-05-02,19.3,24.8,95.6,68.4
2022-05-03,17.9,26.6,94.2,55.4
2022-05-04,17.6,27.9,100.0,57.5
2022-05-05,18.8,28.3,100.0,66.8
2022-05-06,19.5,27.6,100.0,78.3
2022-05-07,20.2,26.7,100.0,72.8
2022-05-08,16.8,24.7,99.4,61.1
2022-05-09,19.4,25.3,100.0,72.3
2022-05-10,19.0,25.1,100.0,73.1
2022-05-11,20.3,24.7,100.0,80.0
2022-05-12,22.0,26.4,94.6,72.7
2022-05-13,21.0,23.6,100.0,85.5
2022-05-14,19.4,27.5,100.0,69.7
2022-05-15,20.4,27.7,100.0,68.1
2022-05-16,19.8,28.9,100.0,69.1
2022-05-17,20.3,28.9,100.0,71.1
2022-05-18,20.7,27.1,97.5,66.4
2022-05-19,18.9,26.7,100.0,65.4
2022-05-20,19.1,22.9,89.1,70.6
2022-05-21,16.3,20.0,100.0,85.1
2022-05-22,16.7,24.7,100.0,64.6
2022-05-23,17.3,23.2,93.7,65.1
2022-05-24,17.4,24.6,100.0,67.3
2022-05-25,16.7,24.3,100.0,64.9
2022-05-26,16.6,24.8,100.0,64.6
2022-05-27,15.6,24.8,100.0,59.8
2022-05-28,15.3,25.2,100.0,57.7
2022-05-29,15.5,25.5,88.6,47.8
2022-05-30,15.2,23.5,100.0,60.1
2022-05-31,16.2,22.9,48.4,31.9
2022-06-01,12.9,22.6,80.0,43.4
2022-06-02,13.4,20.9,54.7,34.0
2022-06-03,11.6,24.3,100.0,49.4
2022-06-04,17.3,23.4,100.0,73.0
2022-06-05,8.8,22.8,100.0,46.1
2022-06-06,14.1,21.8,100.0,82.7
2022-06-07,13.1,20.6,81.0,50.3
2022-06-08,8.8,18.7,85.7,45.0
2022-06-09,6.4,17.8,83.3,39.3
2022-06-10,6.7,18.2,78.5,36.9
2022-06-11,7.1,19.4,90.3,40.4
2022-06-12,8.7,17.8,80.9,44.7
2022-06-13,8.4,21.2,84.4,37.0
2022-06-14,10.8,24.0,100.0,50.6
2022-06-15,13.3,23.6,100.0,63.5
2022-06-16,14.2,25.1,100.0,59.0
2022-06-17,11.9,22.8,100.0,55.5
2022-06-18,8.7,22.3,99.6,41.6
2022-06-19,11.2,23.5,95.5,43.9
2022-06-20,13.0,23.1,100.0,54.9
2022-06-21,12.0,22.7,100.0,56.6
2022-06-22,10.0,23.6,100.0,54.3
2022-06-23,10.6,23.7,100.0,46.8
2022-06-24,9.4,23.5,100.0,52.9
2022-06-25,9.1,23.2,100.0,55.9
2022-06-26,10.6,23.3,100.0,50.7
2022-06-27,13.7,23.2,88.1,48.5
2022-06-28,10.3,21.3,86.3,42.7
2022-06-29,11.8,21.1,100.0,59.6
2022-06-30,12.5,22.3,100.0,59.1
2022-07-01,16.3,21.4,100.0,79.3
2022-07-02,16.1,17.6,100.0,94.0
2022-07-03,13.0,16.4,85.5,68.7
2022-07-04,10.8,12.2,96.6,88.0
2022-07-05,10.2,14.1,100.0,80.9
2022-07-06,10.9,20.1,92.9,51.5
2022-07-07,8.2,21.8,100.0,48.6
2022-07-08,9.1,20.1,93.5,45.9
2022-07-09,5.2,18.6,100.0,42.5
2022-07-10,7.0,20.2,91.9,38.9
2022-07-11,8.1,21.0,95.4,41.4
2022-07-12,10.5,18.2,100.0,73.7
2022-07-13,9.7,19.4,91.5,48.9
2022-07-14,8.7,18.9,69.4,35.7
2022-07-15,8.5,21.6,94.7,40.7
2022-07-16,10.1,21.6,100.0,50.0
2022-07-17,10.6,23.1,100.0,52.0
2022-07-18,10.9,24.7,100.0,58.2
2022-07-19,9.2,22.8,100.0,45.4
2022-07-20,11.5,21.3,100.0,69.1
2022-07-21,14.3,17.7,95.2,76.6
2022-07-22,15.2,17.8,100.0,87.4
2022-07-23,12.8,22.2,95.4,52.7
2022-07-24,11.7,22.5,100.0,51.8
2022-07-25,11.9,22.5,100.0,55.4
2022-07-26,9.9,24.4,100.0,52.4
2022-07-27,10.6,20.3,65.8,35.3
2022-07-28,6.3,21.6,96.4,35.7
2022-07-29,8.8,22.1,100.0,48.1
2022-07-30,9.1,21.7,100.0,50.1
2022-07-31,10.8,21.3,100.0,56.5
2022-08-01,13.2,22.3,100.0,64.3
2022-08-02,13.8,24.1,100.0,59.0
2022-08-03,13.0,23.5,100.0,61.5
2022-08-04,12.6,24.2,100.0,63.9
2022-08-05,14.2,25.2,100.0,67.1
2022-08-06,17.3,19.4,100.0,91.9
2022-08-07,14.0,22.4,73.9,43.6
2022-08-08,8.8,21.2,77.7,35.0
2022-08-09,8.3,21.7,98.7,41.6
2022-08-10,9.4,22.0,93.3,41.6
2022-08-11,11.7,23.0,100.0,50.6
2022-08-12,12.2,22.5,100.0,65.0
2022-08-13,15.4,21.8,100.0,74.7
2022-08-14,10.1,23.5,100.0,53.6
2022-08-15,9.2,23.1,100.0,42.1
2022-08-16,8.0,23.3,100.0,38.8
2022-08-17,9.6,21.6,82.0,38.0
2022-08-18,7.7,23.8,100.0,37.7
2022-08-19,8.8,25.3,100.0,44.4
2022-08-20,12.0,25.1,89.9,39.6
2022-08-21,9.1,23.4,82.2,33.0
2022-08-22,11.9,23.6,100.0,52.9
2022-08-23,9.9,24.4,100.0,56.3
2022-08-24,10.0,20.8,66.8,33.4
2022-08-25,6.9,22.0,79.4,29.9
2022-08-26,7.9,23.1,100.0,43.2
2022-08-27,10.9,23.2,100.0,49.6
2022-08-28,12.3,24.3,100.0,54.7
2022-08-29,13.8,23.8,100.0,59.7
2022-08-30,14.5,21.9,100.0,64.0
2022-08-31,15.8,25.0,100.0,57.8
2022-09-01,15.2,23.5,100.0,68.4
2022-09-02,15.7,24.7,100.0,62.4
2022-09-03,18.3,23.8,100.0,80.8
2022-09-04,12.7,23.9,93.4,46.2
2022-09-05,12.3,22.6,86.7,45.2
2022-09-06,12.7,23.1,96.8,50.3
2022-09-07,12.5,23.3,100.0,54.6
2022-09-08,12.7,22.8,100.0,56.6
2022-09-09,15.2,24.1,100.0,68.0
2022-09-10,15.7,27.2,100.0,57.4
2022-09-11,15.0,25.0,65.1,35.1
2022-09-12,14.6,23.7,81.9,46.4
2022-09-13,12.7,26.2,85.9,37.1
2022-09-14,13.1,24.5,100.0,55.6
2022-09-15,13.0,24.7,100.0,48.9
2022-09-16,16.2,25.3,98.3,56.1
2022-09-17,19.8,26.9,100.0,70.5
2022-09-18,13.4,28.3,100.0,43.4
2022-09-19,14.8,28.1,100.0,57.1
2022-09-20,16.7,27.5,100.0,58.6
2022-09-21,15.5,24.8,100.0,62.3
2022-09-22,19.7,24.1,94.2,72.0
2022-09-23,16.3,27.9,98.3,48.4
2022-09-24,14.1,27.8,96.4,41.5
2022-09-25,13.8,28.0,87.5,36.5
2022-09-26,13.8,27.2,100.0,52.1
2022-09-27,16.3,26.8,95.6,50.2
2022-09-28,18.2,25.9,100.0,62.6
2022-09-29,18.0,22.5,62.1,47.0
2022-09-30,10.4,26.8,96.8,34.6
2022-10-01,13.4,26.3,100.0,47.7
2022-10-02,16.2,20.6,97.3,73.8
2022-10-03,13.9,24.6,100.0,52.4
2022-10-04,12.2,24.9,96.5,43.5
2022-10-05,14.2,23.9,100.0,61.0
2022-10-06,16.0,26.0,99.1,53.6
2022-10-07,16.0,25.6,90.3,50.0
2022-10-08,15.8,26.9,100.0,58.4
2022-10-09,19.4,27.5,100.0,63.2
2022-10-10,19.3,23.8,89.8,68.2
2022-10-11,15.7,25.2,89.2,49.6
2022-10-12,14.1,25.9,100.0,50.6
2022-10-13,14.6,26.6,100.0,52.6
2022-10-14,16.4,27.0,100.0,61.4
2022-10-15,19.0,28.2,96.1,55.2
2022-10-16,18.5,26.5,90.7,55.8
2022-10-17,17.7,24.3,100.0,68.2
2022-10-18,17.7,26.2,100.0,60.9
2022-10-19,19.5,23.6,98.0,76.2
2022-10-20,19.5,26.9,99.3,63.5
2022-10-21,20.2,28.6,100.0,60.8
2022-10-22,19.6,23.9,100.0,81.3
2022-10-23,18.1,29.3,97.3,49.6
2022-10-24,18.8,29.7,100.0,59.0
2022-10-25,19.7,29.6,100.0,57.6
2022-10-26,22.4,31.7,93.4,54.1
2022-10-27,20.0,33.3,98.8,45.2
2022-10-28,19.9,32.2,100.0,49.1
2022-10-29,19.4,30.3,62.6,32.7
2022-10-30,17.2,31.0,79.5,34.7
2022-10-31,18.8,29.9,100.0,56.2
2022-11-01,23.8,25.6,99.4,89.3
2022-11-02,17.6,25.4,46.7,29.0
2022-11-03,12.0,25.3,57.8,25.1
2022-11-04,13.1,26.7,94.9,40.8
2022-11-05,16.8,26.3,86.8,48.5
2022-11-06,15.8,27.1,98.7,49.4
2022-11-07,15.6,26.8,85.3,42.9
2022-11-08,14.9,26.9,99.2,47.4
2022-11-09,15.4,26.8,91.5,45.4
2022-11-10,16.3,26.7,90.7,48.0
2022-11-11,15.0,27.2,83.3,39.4
2022-11-12,15.2,28.7,100.0,44.2
2022-11-13,16.2,29.3,100.0,49.6
2022-11-14,19.3,29.0,94.3,52.7
